Nombre,Fecha,Imagen URL,Texto Imagen
VI Cross Solidario «Doble Amor» #Benidorm 2025,mayo 11,https://grupobrotons.com/wp-content/uploads/2024/08/IMG-20250127-WA0009.jpg,"VI CROSS SOLIDARIO CAMPO A TRAVES
ROTARY CLUB BENIDORM
©) DOBLE AMOR 2M osti%ior

BENIDORM

“a

7K | Senderismo 11 DE ; (AY Le
Categorias infantile 09:00 HORAS

|@« Inscripciones:
ay Pagina web Grupo Brotons

9® Salida:
Parque urbano El Moralet

E

Una carrera para todos los niveles con diferentes categorias: Camina, |
corre o trota por una causa solidaria.
J

ORGANIZA ASOCIACION DOBLE AMOR

COLABORA: jg
Dor

om < cab) Gute GAd"
II Euipo Beach Volley Tournament Alicante 2025,mayo 17,https://grupobrotons.com/wp-content/uploads/2025/03/CARTEL-EVENTO-copia.jpg,
3ª Prueba de Copa Marcha Nórdica La Nucia – FEMECV 2025,mayo 18,https://grupobrotons.com/wp-content/uploads/2025/04/e77cccd5-737c-4d89-8702-1304ee3441bf.png,"18 DE MAIG = Ye beet
LA NUGIA (ALACANT) © j 2

CATEGORIES/DISTANCIES
* ASOLUTA/IUNIOR: 12,5 km - 4 voltes
© INFANTIL/CADET/PROMO: 9,42 km - 3 voltes
* ALEVE: 6,28 km - 2 voltes
© BENJAMI/PREBENJAMI: 1,2 km - 3 voltes de 400 mts

Distancies aproximades

de Sant Vicent
ultat: baixe

LuRBEL

A GENERALITAT

SAL 11 DE MAIG
MES II

ye ATL
EAT,

DIPUTACION
DE ALICANTE

LA NUCiA

SEGUEIX-NOS EN XARXES SOCIALES"
Marcha Solidaria Isabel Rivas San Vicente del Raspeig 2025,mayo 18,https://grupobrotons.com/wp-content/uploads/2025/04/CARTEL-MARCHA-SOLIDARIA-ISABEL-RIVAS.png,"recorrido 3k animacion infantil
mdsica almuerzo solidario

Todo lo recaudado ira destinado a la
investigacion del neuroblastoma

18

MAYO

San Vicente del Raspeig

Salida 10:30H: antiguo Ayuntamiento
Llegada: Parque Lo Torrent

Inscripciones 6€
en www.grupobrotons.com

== COLABORA
ri vunne MIRALBO 5
——* del Raspeig | UXURY CONSTRUCTION x grupobrotons
eo

Cody, RZ 1979 la cocira be
8 (7d ~©=6ARCOMIRA TEXACO Pee a
<> ee PUA DESMNLN Jouathan COFRAD"
I Carrera Solidaria «Pasos que Cuentan» Torrevieja 2025,mayo 25,https://grupobrotons.com/wp-content/uploads/2025/01/CARTEL-WEB.jpg,"Brass —
Pie | se

25 ates comprometidos
con tu salud

JK

. .
Carrera Solidaria
Desde el Hospital Quirénsalud Torrevieja
celebramos 25 afios comprometidos con
tu salud con una gran carrera solidaria:

@ 25 de mayo a las 10:00 h

Parque de las Naciones
(Torrevieja)

Inscribete aqui

=

En beneficio de: Colabora: Hospital

Sh s eigen  vvmwonr @Quironsalud
he oa @& Wy TorRevien a q

Torrevieja"
6ª Carrera Solidaria Bombers 5K #TransCostaBlanca Benidorm 2025,junio 1,https://grupobrotons.com/wp-content/uploads/2025/03/Cartel-Transcostablanca-2025-1.jpg,aios BOMBERDS
Campeonato España Máster Individual,junio 20,No disponible,No disponible
IX Cross Playa Centro La Vila Joiosa 2025,julio 20,No disponible,No disponible
XXXIV Cross del Amanecer El Campello 2025,agosto 15,https://grupobrotons.com/wp-content/uploads/2025/01/cartel.jpg,"15 AGOSTO 2025

XXXIV CROSS DEL

garelli
grupobrotons El camel salesianos SON

INSCRIPCIONES EN WWW.GRUPOBROTONS.ES"
III Carrera Solidaria en Primera Línea Benidorm 2025,septiembre 21,No disponible,No disponible
Campeonato de España de Selecciones Autonómicas Sub 16 e inclusivo,No disponible,No disponible,No disponible
X CARRERA/MARCHA SOLIDARIA AFA TORREVIEJA 2025,octubre 5,No disponible,No disponible
XXXVIII Medio Maratón Torrevieja 2025,octubre 19,https://grupobrotons.com/wp-content/uploads/2024/08/CARTEL-MEDIA-MARATA_N-10K-SIN-PATROCINADORES.jpg,"PATROCINADOR OFICIAL VEHICULO OFICIAL BEBIDA OFICIAL MARCA TECNICA

| | TORREVIEJA —_TalleresMartinez Cetbela. JULIA

Tet"
VI Carrera Solidaria 5K Terra Mitica Park Benidorm 2025,noviembre 9,No disponible,No disponible
XII Caminata-Carrera Dia Mundial de la Diabetes El Campello 2025,noviembre 16,No disponible,No disponible
XI Carrera Contra el Cáncer de PANCREAS Alicante 2025,noviembre 23,No disponible,No disponible
Christmas Run Benidorm 2025,diciembre 28,No disponible,No disponible
